id_img,label
10052,happy
10065,fear
10079,angry
10095,sad
10121,angry
10148,angry
10163,sad
10215,angry
1024,neutral
10286,neutral
10315,sad
10336,happy
10338,sad
10371,sad
10382,sad
10399,sad
10415,neutral
10426,sad
10551,happy
10554,happy
10583,fear
10699,angry
10702,neutral
1071,angry
10743,angry
10746,neutral
10818,sad
10823,neutral
10825,neutral
10839,angry
10854,happy
10970,happy
11002,sad
11017,sad
11024,sad
11028,sad
1106,neutral
11075,angry
11093,sad
11096,fear
11158,sad
11169,happy
11186,neutral
11188,sad
11200,sad
1124,angry
11266,sad
1127,fear
11337,angry
11342,angry
11400,fear
11421,fear
11467,neutral
11561,fear
11610,fear
11613,angry
11632,sad
11642,neutral
11675,sad
11694,sad
1177,angry
11813,angry
11841,fear
11849,angry
11883,sad
11949,happy
11964,sad
11986,angry
12136,neutral
12144,happy
1215,neutral
12171,sad
12183,angry
12230,angry
12237,neutral
12307,sad
1235,angry
12352,neutral
12489,sad
12680,angry
12695,neutral
12733,angry
12808,neutral
12810,sad
12841,angry
12842,neutral
12851,angry
12928,sad
12945,angry
13029,happy
13041,angry
13057,happy
13059,sad
13092,neutral
13118,angry
13167,sad
13220,neutral
13267,sad
13279,neutral
13334,neutral
13351,sad
13376,neutral
13395,angry
1340,angry
13431,neutral
1350,neutral
13514,sad
13533,fear
13535,angry
1358,sad
13582,fear
13599,sad
13607,angry
13671,sad
13672,fear
13738,sad
13758,angry
1386,fear
13890,fear
13978,happy
14022,angry
14030,angry
14058,fear
14108,angry
14118,happy
14120,fear
14148,happy
14185,neutral
14206,fear
1422,fear
14243,sad
14315,sad
14329,angry
14357,angry
14376,neutral
1438,angry
14381,sad
14421,angry
14438,sad
14498,angry
14557,neutral
1460,neutral
14706,sad
1477,fear
14775,neutral
14821,happy
14831,sad
14870,angry
14945,fear
15074,fear
1508,angry
15138,angry
15172,sad
15190,angry
15194,angry
15217,fear
15222,neutral
15295,neutral
15474,sad
15500,angry
15502,happy
1555,neutral
15562,angry
15637,sad
15644,fear
15654,sad
15699,fear
157,fear
15709,sad
15712,neutral
15715,fear
15725,fear
1575,sad
15771,happy
1582,sad
15820,fear
15821,neutral
15835,sad
1584,angry
15848,sad
15897,sad
15919,angry
15941,angry
15954,sad
15979,angry
16033,neutral
16102,sad
16169,fear
16222,fear
16233,sad
16287,angry
16292,angry
16380,angry
16406,angry
16410,angry
16413,fear
16428,sad
16506,fear
16510,fear
16557,sad
16565,fear
16643,sad
16659,angry
16681,neutral
16711,happy
1672,neutral
16764,happy
16768,sad
16783,angry
16792,angry
16875,angry
16999,angry
17024,angry
17053,fear
17085,neutral
17099,sad
17167,angry
1717,angry
17170,neutral
17186,angry
17209,happy
17211,fear
17228,sad
17259,sad
17316,sad
17344,angry
1736,fear
17371,neutral
17413,angry
17428,sad
17445,sad
17452,angry
17502,angry
17536,angry
17647,angry
17700,sad
17705,angry
17731,angry
17735,happy
17736,angry
17752,sad
17787,sad
17910,angry
17939,sad
18001,sad
18050,sad
18140,neutral
18142,sad
18161,fear
18166,sad
18183,sad
18200,sad
18247,angry
1825,happy
18254,fear
18284,neutral
18376,fear
18380,sad
1841,sad
18415,sad
18445,happy
18459,sad
18466,angry
18492,angry
18534,neutral
18565,angry
18566,neutral
18588,fear
18593,sad
18602,happy
18617,sad
18633,sad
18695,angry
18715,angry
18779,angry
1880,angry
18810,fear
18837,angry
18882,angry
18903,neutral
18949,neutral
18983,sad
1899,sad
18994,angry
19014,happy
19060,sad
19067,neutral
1908,angry
19093,angry
19108,happy
19114,neutral
19115,angry
19140,sad
19152,angry
19268,neutral
19292,neutral
19309,neutral
19392,fear
19476,angry
19477,fear
19485,fear
1966,angry
19664,neutral
19732,angry
19811,angry
1983,fear
19832,fear
19877,sad
19906,sad
19923,happy
1994,happy
19950,neutral
19961,fear
2006,sad
20222,fear
20227,neutral
20287,angry
20290,angry
20298,fear
20303,sad
20312,neutral
20328,happy
20353,angry
20374,sad
20451,sad
2050,happy
20505,angry
20532,sad
2055,fear
20629,angry
20630,fear
20635,angry
20640,neutral
20653,fear
20673,neutral
20686,happy
20736,angry
20739,sad
20796,neutral
20817,sad
20849,sad
21068,sad
21099,sad
21111,sad
21131,sad
21135,neutral
21161,sad
2117,fear
21173,angry
21284,neutral
21371,angry
21374,sad
2142,sad
21447,fear
21472,angry
21511,angry
21512,angry
21520,fear
21541,sad
21573,sad
21670,sad
21703,sad
21723,sad
21782,angry
21836,neutral
21865,angry
21916,angry
21921,sad
21922,sad
2194,sad
22089,angry
22183,fear
22184,sad
22198,sad
2225,sad
22309,sad
22334,sad
22375,happy
22516,angry
22695,sad
22733,fear
22739,fear
22789,neutral
22807,fear
22810,sad
22832,happy
2290,sad
22990,angry
23,sad
23008,sad
23041,sad
23059,sad
23085,sad
23164,neutral
23194,angry
23215,fear
23230,neutral
23246,angry
23327,angry
23404,sad
23468,fear
23473,happy
23488,angry
23521,sad
23532,angry
23749,angry
23780,angry
23783,happy
23814,sad
23847,neutral
23886,sad
24067,angry
2407,fear
24071,sad
24176,angry
24184,angry
