id_img,label
10052,happy
10065,sad
10079,angry
10095,angry
10121,angry
10148,angry
10163,sad
10215,angry
1024,neutral
10286,angry
10315,fear
10336,happy
10338,fear
10371,angry
10382,happy
10399,happy
10415,neutral
10426,angry
10551,happy
10554,happy
10583,surprise
10699,angry
10702,neutral
1071,fear
10743,angry
10746,neutral
10818,neutral
10823,surprise
10825,neutral
10839,happy
10854,happy
10970,neutral
11002,neutral
11017,angry
11024,sad
11028,sad
1106,neutral
11075,angry
11093,sad
11096,sad
11158,angry
11169,happy
11186,neutral
11188,happy
11200,neutral
1124,angry
11266,sad
1127,happy
11337,angry
11342,angry
11400,neutral
11421,angry
11467,neutral
11561,sad
11610,angry
11613,happy
11632,angry
11642,neutral
11675,neutral
11694,angry
1177,angry
11813,angry
11841,angry
11849,angry
11883,sad
11949,happy
11964,neutral
11986,angry
12136,neutral
12144,happy
1215,neutral
12171,sad
12183,surprise
12230,angry
12237,fear
12307,fear
1235,angry
12352,neutral
12489,sad
12680,angry
12695,sad
12733,angry
12808,angry
12810,sad
12841,angry
12842,neutral
12851,angry
12928,neutral
12945,angry
13029,fear
13041,fear
13057,happy
13059,angry
13092,sad
13118,angry
13167,angry
13220,neutral
13267,neutral
13279,neutral
13334,sad
13351,sad
13376,neutral
13395,angry
1340,angry
13431,neutral
1350,neutral
13514,sad
13533,fear
13535,happy
1358,sad
13582,sad
13599,neutral
13607,angry
13671,fear
13672,happy
13738,sad
13758,neutral
1386,surprise
13890,neutral
13978,fear
14022,angry
14030,angry
14058,sad
14108,angry
14118,happy
14120,fear
14148,happy
14185,sad
14206,angry
1422,sad
14243,neutral
14315,neutral
14329,angry
14357,happy
14376,neutral
1438,neutral
14381,sad
14421,happy
14438,sad
14498,angry
14557,happy
1460,neutral
14706,neutral
1477,surprise
14775,neutral
14821,happy
14831,sad
14870,angry
14945,happy
15074,sad
1508,angry
15138,angry
15172,sad
15190,neutral
15194,angry
15217,neutral
15222,neutral
15295,neutral
15474,sad
15500,angry
15502,neutral
1555,neutral
15562,angry
15637,happy
15644,fear
15654,angry
15699,fear
157,angry
15709,happy
15712,sad
15715,surprise
15725,sad
1575,happy
15771,happy
1582,neutral
15820,neutral
15821,neutral
15835,sad
1584,angry
15848,angry
15897,neutral
15919,angry
15941,angry
15954,happy
15979,angry
16033,neutral
16102,surprise
16169,happy
16222,sad
16233,sad
16287,angry
16292,angry
16380,angry
16406,angry
16410,happy
16413,angry
16428,neutral
16506,fear
16510,fear
16557,sad
16565,neutral
16643,angry
16659,angry
16681,neutral
16711,happy
1672,sad
16764,happy
16768,neutral
16783,neutral
16792,angry
16875,angry
16999,sad
17024,angry
17053,neutral
17085,neutral
17099,angry
17167,angry
1717,angry
17170,neutral
17186,angry
17209,happy
17211,sad
17228,happy
17259,sad
17316,angry
17344,angry
1736,neutral
17371,neutral
17413,angry
17428,sad
17445,neutral
17452,neutral
17502,angry
17536,angry
17647,angry
17700,angry
17705,angry
17731,angry
17735,happy
17736,angry
17752,sad
17787,angry
17910,angry
17939,angry
18001,neutral
18050,happy
18140,neutral
18142,angry
18161,surprise
18166,fear
18183,angry
18200,angry
18247,angry
1825,neutral
18254,neutral
18284,neutral
18376,angry
18380,happy
1841,angry
18415,sad
18445,angry
18459,surprise
18466,happy
18492,sad
18534,happy
18565,neutral
18566,neutral
18588,angry
18593,happy
18602,happy
18617,neutral
18633,angry
18695,angry
18715,angry
18779,angry
1880,neutral
18810,surprise
18837,neutral
18882,happy
18903,neutral
18949,sad
18983,sad
1899,angry
18994,angry
19014,happy
19060,sad
19067,neutral
1908,fear
19093,angry
19108,angry
19114,surprise
19115,angry
19140,angry
19152,angry
19268,neutral
19292,neutral
19309,neutral
19392,neutral
19476,angry
19477,angry
19485,sad
1966,angry
19664,sad
19732,angry
19811,neutral
1983,happy
19832,angry
19877,neutral
19906,happy
19923,happy
1994,happy
19950,neutral
19961,happy
2006,sad
20222,angry
20227,neutral
20287,surprise
20290,angry
20298,fear
20303,sad
20312,fear
20328,fear
20353,angry
20374,angry
20451,neutral
2050,happy
20505,neutral
20532,sad
2055,angry
20629,happy
20630,neutral
20635,angry
20640,neutral
20653,angry
20673,neutral
20686,happy
20736,angry
20739,sad
20796,surprise
20817,fear
20849,happy
21068,happy
21099,sad
21111,fear
21131,sad
21135,angry
21161,sad
2117,surprise
21173,angry
21284,neutral
21371,angry
21374,happy
2142,neutral
21447,fear
21472,angry
21511,angry
21512,happy
21520,surprise
21541,neutral
21573,sad
21670,neutral
21703,neutral
21723,neutral
21782,angry
21836,angry
21865,angry
21916,angry
21921,happy
21922,sad
2194,sad
22089,angry
22183,neutral
22184,angry
22198,sad
2225,sad
22309,sad
22334,sad
22375,happy
22516,angry
22695,angry
22733,angry
22739,sad
22789,neutral
22807,neutral
22810,sad
22832,happy
2290,sad
22990,angry
23,sad
23008,happy
23041,neutral
23059,neutral
23085,neutral
23164,neutral
23194,angry
23215,surprise
23230,happy
23246,angry
23327,happy
