ID,SeriousDlqin2yrs
129460,0.12071946
134018,0.011500504
86523,0.01574407
138466,0.0073682177
143905,0.0062853587
118893,0.5290904
124587,0.005942542
136337,0.10230915
16700,0.018881243
57857,0.041113827
15734,0.012746677
108865,0.009621717
70643,0.02017467
63937,0.014484875
45630,0.32020813
134,0.013393996
19051,0.0067030312
70017,0.010842029
141425,0.00911182
54428,0.012427782
22909,0.07827734
50665,0.23105393
14452,0.011990934
25646,0.065585345
7670,0.28540558
58203,0.010601848
34957,0.015037028
12339,0.00920883
57387,0.013427921
135184,0.008741214
67705,0.17767376
88706,0.008920869
50761,0.006448301
128898,0.265383
141806,0.48888344
26485,0.011425538
35726,0.09048318
7684,0.015650531
110249,0.006793303
93798,0.5291054
15352,0.018840775
124345,0.08569198
114161,0.0072092176
134264,0.15802927
25722,0.011722417
80217,0.0058999527
39434,0.028753117
148053,0.023255141
36794,0.0061140186
36180,0.015331314
111180,0.028717324
109175,0.04668411
89108,0.009155358
102313,0.011265155
1237,0.21720976
115697,0.11012012
117088,0.10814799
32708,0.011651342
56470,0.06504862
32678,0.031770956
7520,0.010369493
19850,0.41219226
59381,0.011416418
72715,0.06736628
120597,0.11685602
64821,0.08495083
85756,0.16477177
87380,0.08927166
4468,0.07961384
117685,0.011050117
14303,0.053214937
137190,0.010280186
16530,0.017957663
87639,0.020546723
52576,0.015833022
51230,0.08857677
8197,0.11948473
8926,0.007834318
12082,0.020221254
36469,0.023526289
71537,0.11050872
143473,0.04386906
40512,0.061271917
142333,0.007189576
122859,0.017138466
123494,0.52556616
11783,0.0132790655
93815,0.043200884
34965,0.02110479
28589,0.11707786
4382,0.017509706
103120,0.01622473
67853,0.006586149
1341,0.010221069
61792,0.0066677155
133333,0.010877515
33457,0.015543589
84785,0.02728591
88130,0.00834822
44198,0.010832174
119157,0.008849943
24998,0.009395563
122763,0.071672715
121251,0.24987918
78085,0.08856506
5826,0.14643662
10776,0.063826114
149700,0.034144156
41971,0.0071477317
45082,0.10256727
99466,0.113813594
105695,0.02410188
46531,0.007897404
92571,0.010691741
149280,0.35927394
9307,0.008470177
3832,0.28400275
136229,0.06677462
9749,0.038250286
22416,0.0167159
8923,0.044918407
122317,0.009653381
75316,0.017502833
90063,0.0137632815
125217,0.011522598
7152,0.040910628
98829,0.006532599
7731,0.026537497
73791,0.076292664
77593,0.022839269
44064,0.010034779
97789,0.0067465547
96776,0.008368776
65178,0.20221621
91449,0.018672673
99847,0.10177449
67431,0.0615101
37950,0.019622141
25116,0.013435736
125291,0.08245955
81884,0.009448457
54800,0.10736011
56112,0.06661605
101235,0.008693745
46574,0.020219913
40808,0.05537259
142283,0.016871272
51874,0.0068762843
51128,0.58754015
114138,0.023375157
13547,0.015459751
6473,0.007898413
26439,0.25008458
117091,0.25597623
18597,0.007958215
94348,0.014316285
30020,0.016119806
63311,0.11690225
29567,0.17277637
137357,0.021847278
116355,0.015892388
16821,0.009853279
145830,0.11502566
94237,0.008304131
138891,0.0060792915
125287,0.01202409
43538,0.15298212
18098,0.3298618
11471,0.016618969
50859,0.18306561
105579,0.014546888
1026,0.17260088
48669,0.0076852185
4369,0.04341522
8675,0.009484481
30495,0.007337264
46390,0.032160547
85342,0.042410366
145455,0.124959365
84151,0.014907022
99728,0.13176632
51431,0.052272454
40461,0.04273576
74752,0.06419036
146347,0.016304811
89627,0.012571251
119495,0.08623046
5535,0.06307895
6886,0.05797288
82573,0.015968546
5856,0.013855548
112565,0.008678989
141875,0.024390282
116917,0.023535607
82648,0.048624795
61263,0.026189258
149132,0.03476283
136782,0.007901159
73326,0.11126783
36736,0.035256118
135464,0.021549486
134733,0.013464006
109407,0.026489416
80387,0.027295921
69821,0.010896564
36225,0.007913252
106353,0.09806954
23899,0.04328378
98340,0.08081748
1459,0.014831015
124570,0.023035832
125522,0.012061794
65121,0.015371468
111475,0.007879073
134388,0.10751179
136272,0.058330316
63305,0.011766947
51318,0.016098479
124790,0.010359295
137374,0.011237465
61364,0.10580057
130363,0.49835438
115501,0.5756924
126422,0.113107555
74959,0.012194064
20728,0.006168296
98840,0.009225739
86036,0.006366291
126021,0.009286399
106773,0.019768756
114366,0.03481619
38396,0.05641319
64618,0.09487419
44641,0.22097053
15441,0.015962267
70716,0.010533648
149477,0.007828338
4458,0.14924973
85932,0.012106041
96810,0.11699687
35535,0.802711
25662,0.04218376
81621,0.06569077
50408,0.010731684
91625,0.064683974
144293,0.013590208
102549,0.016611535
126255,0.08666656
121831,0.041261207
102237,0.061037257
87682,0.10491273
1128,0.16849081
113669,0.012646009
143810,0.036227424
2537,0.01220201
32514,0.011206951
27431,0.02272043
12324,0.005972905
4255,0.010165857
120638,0.21599299
140287,0.0073437444
15575,0.014560216
102682,0.05777976
66848,0.021614123
42860,0.007036733
64695,0.07558684
78618,0.0088432375
125868,0.01370363
95046,0.05504216
148199,0.0075427676
48429,0.11772623
103265,0.04937097
88744,0.02700459
95916,0.008595378
85231,0.009012747
59848,0.011675885
102903,0.00634891
6418,0.049370475
56585,0.014132363
16433,0.007269781
143329,0.07304621
35325,0.08640464
129113,0.07472773
20640,0.022705132
81767,0.23114154
125251,0.010794476
111116,0.31818923
78367,0.009485346
91129,0.108829655
100868,0.027835196
142892,0.009342178
54362,0.035013337
90671,0.013285359
68108,0.008727166
24347,0.015070632
64400,0.00897063
11051,0.0066329106
23652,0.009326277
35741,0.007897763
106355,0.70335406
43631,0.009048207
60105,0.04124399
4167,0.02954473
139748,0.014794184
108628,0.015366885
130842,0.012869623
73121,0.1109275
